,,,,,
,MIRADORE EXPERIENCES — RIYADH,,,,,
,,,,,
,QUOTATION — VERSION 2,,,,,
,"PAKISTAN NIGHT — LEAP 2026",,,,,
,,,,,
,TO:,,,FROM:,
,"CLIENT: Pakistan Software Export Board (PSEB)",,,Miradore Experiences — Riyadh,
,Ministry of IT & Telecommunication,,,,
,,,,,,
,"EVENT: Pakistan Night — Welcome Networking Evening",,,,,
,"VENUE: Crowne Plaza Hotel — Riyadh (Ballroom, Buffet Dinner + Coffee Break)",,,,,
,"DATE: April 14, 2026 (7:00 PM — 11:00 PM)",,,,,
,"CONTEXT: LEAP 2026 — Riyadh, Saudi Arabia",,,,,
,QUOTATION DATE: 09 March 2026,,,,,
,,,,,
,,,,,
S#,DESCRIPTION,QTY,DAYS,RATE (SAR),AMOUNT (SAR),
,,,,,
,SECTION A: VENUE & HOSPITALITY,,,,,
1,"Hotel Crowne Plaza Ballroom (Buffet Dinner + Coffee Break, 400 Guests)",1,1,"325,000","325,000",
2,"VIP Sofas (50 Pieces)",50,1,350,"17,500",
,Section A Subtotal,,,,"342,500",
,,,,,
,SECTION B: STAGE & SCREENS,,,,,
3,"Stage Screen Setup (Center 10m x 4m, 2 Side Panels 3m x 4m each, Servers)",1,1,"31,300","31,300",
,Section B Subtotal,,,,"31,300",
,,,,,
,SECTION C: VENUE BRANDING & SETUP,,,,,
4,Reception Counter with Branded Fascia,1,1,"13,500","13,500",
5,"2 Media Walls with Front Carpet (4.8m x 2.4m)",2,1,"7,500","15,000",
6,Cocktail Tables — Coffee Break Area,10,1,200,"2,000",
7,"06 Digital Standees",6,1,"1,350","8,100",
8,"Hall Branding — 4 Side Panels (Flex, 2 each side)",4,1,"3,750","15,000",
,Section C Subtotal,,,,"53,600",
,,,,,
,SECTION D: TECHNICAL & AUDIO-VISUAL,,,,,
9,Ambiance Lighting (On-premise),1,1,On-premise,On-premise,
10,Sound System & 2 Wireless Mics (On-premise),1,1,On-premise,On-premise,
11,"Content Design (Digital, Print & Social)",1,1,"12,000","12,000",
,Section D Subtotal,,,,"12,000",
,,,,,
,SECTION E: EVENT SERVICES & PERSONNEL,,,,,
12,"Media Coverage (Event Photography 6pm–11pm + Videography)",1,1,"11,500","11,500",
13,Professional Ushers / Hostesses (Bilingual),3,1,"1,500","4,500",
14,Cultural Night Performance (All Provinces incl. AJK & GB),1,1,"45,000","45,000",
,Section E Subtotal,,,,"61,000",
,,,,,
,SECTION F: MISCELLANEOUS,,,,,
15,Miscellaneous & Contingency,1,1,"5,000","5,000",
,Section F Subtotal,,,,"5,000",
,,,,,
,,,,,
,COST SUMMARY,,,,,
,"Venue & Hospitality (Section A)",,,,"342,500",
,"Production Services (Sections B–F)",,,,"162,900",
,,,,,
,"AGENCY COMMISSION (15% on Production Services)",,,,"24,435",
,,,,,
,"SUBTOTAL BEFORE VAT",,,,"529,835",
,"VAT (15%)",,,,"79,475.25",
,,,,,
,"GRAND TOTAL (INCLUSIVE OF VAT)",,,,"609,310.25",
,,,,,
,,,,,
,PAYMENT TERMS,,,,,
,"80% Advance Payment — 20% After the Event",,,,,
,,,,,
,NOTES,,,,,
,"1. All prices are in Saudi Riyals (SAR).",,,,,
,"2. Venue includes buffet dinner + coffee break for 400 guests at Crowne Plaza Ballroom.",,,,,
,"3. VIP sofas (50 pcs) quoted separately at 350 SAR per piece.",,,,,
,"4. Sound system, wireless mics & ambiance lighting are on-premise at the hotel venue.",,,,,
,"5. Stage screen includes center screen (10m x 4m), 2 side panels (3m x 4m each), and servers.",,,,,
,"6. Seating arrangements as per Embassy/PSEB guidelines.",,,,,
,"7. Any additional requirements beyond this scope will be quoted separately.",,,,,
,"8. This quotation is valid for 30 days from the date of issue.",,,,,
,,,,,
,,,,,
,ADEEL AHMED — DIRECTOR,,,,,
,"Miradore Experiences, Riyadh",,,,,
